TIMESTAMP,METHOD,PATH,IP,HEADERS
2024-08-16T19:24:53.085Z,GET,/s/733313e2534313e2737313e2930323/_/;/META-INF/maven/com.atlassian.jira/jira-webapp-dist/pom.properties,127.0.0.1,"{""host"":""blahblahblah.tail11540.ts.net"",""user-agent"":""Go-http-client/1.1"",""accept-encoding"":""gzip"",""x-forwarded-for"":""206.189.2.13"",""x-forwarded-host"":""blahblahblah.tail11540.ts.net"",""x-forwarded-proto"":""https""}"
2024-08-16T19:24:53.549Z,GET,/config.json,127.0.0.1,"{""host"":""blahblahblah.tail11540.ts.net"",""user-agent"":""Go-http-client/1.1"",""accept-encoding"":""gzip"",""x-forwarded-for"":""206.189.2.13"",""x-forwarded-host"":""blahblahblah.tail11540.ts.net"",""x-forwarded-proto"":""https""}"
2024-08-16T19:24:54.034Z,GET,/telescope/requests,127.0.0.1,"{""host"":""blahblahblah.tail11540.ts.net"",""user-agent"":""Go-http-client/1.1"",""accept-encoding"":""gzip"",""x-forwarded-for"":""206.189.2.13"",""x-forwarded-host"":""blahblahblah.tail11540.ts.net"",""x-forwarded-proto"":""https""}"
2024-08-16T19:24:54.217Z,HEAD,/,127.0.0.1,"{""host"":""blahblahblah.tail11540.ts.net"",""user-agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"",""accept"":""*/*"",""accept-encoding"":""gzip, deflate"",""x-forwarded-for"":""195.211.77.140"",""x-forwarded-host"":""blahblahblah.tail11540.ts.net"",""x-forwarded-proto"":""https""}"
2024-08-16T19:24:54.527Z,GET,/,127.0.0.1,"{""host"":""blahblahblah.tail11540.ts.net"",""user-agent"":""Go-http-client/1.1"",""accept-encoding"":""gzip"",""x-forwarded-for"":""206.189.2.13"",""x-forwarded-host"":""blahblahblah.tail11540.ts.net"",""x-forwarded-proto"":""https""}"
2024-08-16T19:25:18.381Z,GET,/,127.0.0.1,"{""host"":""blahblahblah.tail11540.ts.net"",""user-agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"",""accept"":""*/*"",""accept-encoding"":""gzip, deflate"",""x-forwarded-for"":""195.211.77.142"",""x-forwarded-host"":""blahblahblah.tail11540.ts.net"",""x-forwarded-proto"":""https""}"
2024-08-16T19:25:35.863Z,GET,/,127.0.0.1,"{""host"":""blahblahblah.tail11540.ts.net"",""user-agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36"",""accept"":""*/*"",""x-forwarded-for"":""192.175.111.251"",""x-forwarded-host"":""blahblahblah.tail11540.ts.net"",""x-forwarded-proto"":""https"",""accept-encoding"":""gzip""}"
2024-08-16T19:25:36.394Z,GET,/,127.0.0.1,"{""host"":""blahblahblah.tail11540.ts.net"",""user-agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36"",""accept"":""*/*"",""x-forwarded-for"":""192.175.111.241"",""x-forwarded-host"":""blahblahblah.tail11540.ts.net"",""x-forwarded-proto"":""https"",""accept-encoding"":""gzip""}"
2024-08-16T19:25:37.490Z,GET,/favicon.ico,127.0.0.1,"{""host"":""blahblahblah.tail11540.ts.net"",""user-agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36"",""accept"":""*/*"",""x-forwarded-for"":""192.175.111.243"",""x-forwarded-host"":""blahblahblah.tail11540.ts.net"",""x-forwarded-proto"":""https"",""accept-encoding"":""gzip""}"
2024-08-16T19:25:38.911Z,GET,/,127.0.0.1,"{""host"":""blahblahblah.tail11540.ts.net"",""user-agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36"",""accept"":""*/*"",""x-forwarded-for"":""64.15.129.100"",""x-forwarded-host"":""blahblahblah.tail11540.ts.net"",""x-forwarded-proto"":""https"",""accept-encoding"":""gzip""}"
2024-08-16T19:25:39.239Z,GET,/,127.0.0.1,"{""host"":""blahblahblah.tail11540.ts.net"",""user-agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36"",""accept"":""*/*"",""x-forwarded-for"":""64.15.129.112"",""x-forwarded-host"":""blahblahblah.tail11540.ts.net"",""x-forwarded-proto"":""https"",""accept-encoding"":""gzip""}"
2024-08-16T19:25:46.057Z,GET,/,127.0.0.1,"{""host"":""blahblahblah.tail11540.ts.net"",""user-agent"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/92.0.4515.159 Safari/537.36"",""accept"":""text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.9"",""accept-encoding"":""gzip, deflate, br"",""cache-control"":""no-cache"",""pragma"":""no-cache"",""sec-fetch-dest"":""document"",""sec-fetch-mode"":""navigate"",""sec-fetch-site"":""none"",""sec-fetch-user"":""?1"",""upgrade-insecure-requests"":""1"",""x-forwarded-for"":""34.123.170.104"",""x-forwarded-host"":""blahblahblah.tail11540.ts.net"",""x-forwarded-proto"":""https""}"
2024-08-16T19:25:56.644Z,GET,/,127.0.0.1,"{""host"":""blahblahblah.tail11540.ts.net"",""user-agent"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.61 Safari/537.36"",""accept"":""text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.9"",""accept-encoding"":""gzip, deflate, br"",""accept-language"":""en-US"",""sec-fetch-dest"":""document"",""sec-fetch-mode"":""navigate"",""sec-fetch-site"":""same-origin"",""sec-fetch-user"":""?1"",""upgrade-insecure-requests"":""1"",""x-forwarded-for"":""205.169.39.243"",""x-forwarded-host"":""blahblahblah.tail11540.ts.net"",""x-forwarded-proto"":""https""}"
2024-08-16T19:25:58.127Z,GET,/,127.0.0.1,"{""host"":""blahblahblah.tail11540.ts.net"",""user-agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.5938.132 Safari/537.36"",""accept"":""text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7"",""accept-encoding"":""gzip, deflate, br"",""cache-control"":""no-cache"",""pragma"":""no-cache"",""sec-fetch-dest"":""document"",""sec-fetch-mode"":""navigate"",""sec-fetch-site"":""none"",""sec-fetch-user"":""?1"",""upgrade-insecure-requests"":""1"",""x-forwarded-for"":""205.169.39.44"",""x-forwarded-host"":""blahblahblah.tail11540.ts.net"",""x-forwarded-proto"":""https""}"
2024-08-16T19:26:00.312Z,GET,/,127.0.0.1,"{""host"":""blahblahblah.tail11540.ts.net"",""user-agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.79 Safari/537.36"",""accept"":""text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.9"",""accept-encoding"":""gzip, deflate, br"",""accept-language"":""en-US"",""sec-fetch-dest"":""document"",""sec-fetch-mode"":""navigate"",""sec-fetch-site"":""none"",""sec-fetch-user"":""?1"",""upgrade-insecure-requests"":""1"",""x-forwarded-for"":""205.169.39.243"",""x-forwarded-host"":""blahblahblah.tail11540.ts.net"",""x-forwarded-proto"":""https""}"
2024-08-16T19:26:27.381Z,GET,/,127.0.0.1,"{""host"":""blahblahblah.tail11540.ts.net"",""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36"",""accept"":""*/*"",""accept-encoding"":""gzip, deflate"",""x-forwarded-for"":""34.136.174.55"",""x-forwarded-host"":""blahblahblah.tail11540.ts.net"",""x-forwarded-proto"":""https""}"
2024-08-16T19:26:31.881Z,GET,/,127.0.0.1,"{""host"":""blahblahblah.tail11540.ts.net"",""user-agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"",""accept"":""text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7"",""accept-encoding"":""gzip, deflate, br"",""accept-language"":""en-US,en;q=0.9,de;q=0.8,fr;q=0.7,nl;q=0.6,lb;q=0.5,es;q=0.4,pt;q=0.3"",""cache-control"":""max-age=0"",""sec-ch-ua"":""\""Chromium\"";v=\""110\"", \""Not A(Brand\"";v=\""24\"", \""Google Chrome\"";v=\""110\"""",""sec-ch-ua-mobile"":""?0"",""sec-ch-ua-platform"":""\""Windows\"""",""sec-fetch-dest"":""document"",""sec-fetch-mode"":""navigate"",""sec-fetch-site"":""none"",""sec-fetch-user"":""?1"",""upgrade-insecure-requests"":""1"",""x-forwarded-for"":""146.70.132.154"",""x-forwarded-host"":""blahblahblah.tail11540.ts.net"",""x-forwarded-proto"":""https""}"
2024-08-16T19:26:32.355Z,GET,/favicon.ico,127.0.0.1,"{""host"":""blahblahblah.tail11540.ts.net"",""user-agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"",""accept"":""text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7"",""accept-encoding"":""gzip, deflate, br"",""accept-language"":""en-US,en;q=0.9,de;q=0.8,fr;q=0.7,nl;q=0.6,lb;q=0.5,es;q=0.4,pt;q=0.3"",""cache-control"":""max-age=0"",""sec-ch-ua"":""\""Chromium\"";v=\""110\"", \""Not A(Brand\"";v=\""24\"", \""Google Chrome\"";v=\""110\"""",""sec-ch-ua-mobile"":""?0"",""sec-ch-ua-platform"":""\""Windows\"""",""sec-fetch-dest"":""document"",""sec-fetch-mode"":""navigate"",""sec-fetch-site"":""none"",""sec-fetch-user"":""?1"",""upgrade-insecure-requests"":""1"",""x-forwarded-for"":""146.70.132.154"",""x-forwarded-host"":""blahblahblah.tail11540.ts.net"",""x-forwarded-proto"":""https""}"
